sentence,snippets,target,sentiment_score,aspects,format,label
UPDATE 1-Cypress Semiconductor offers to buy Integrated Silicon Solution,['Semiconductor offers to buy Integrated Silicon Solution'],Integrated Silicon Solution,0.461,['Stock/Signal/Buy Signal'],headline,Positive
Renewed AB InBev Bid for SABMiller Ups Stake in Beer Battle,['AB InBev Bid for SABMiller Ups Stake'],SAB Miller,0.236,['Corporate/M&A/M&A'],headline,Neutral
Kingfisher share price slides on cost to implement new strategy,['share price slides on cost to'],Kingfisher,-0.786,['Stock/Price Action'],headline,Negative
"$LULU http://stks.co/o17i Bounced off support early in week - now indicators turning up (RSI, MACD, SMI) Worth a look","['now indicators turning up (RSI, MACD, SMI)']",LULU,0.351,['Stock/Technical Analysis'],post,Positive
UPDATE 1-BP shareholders back more disclosure on climate change risks,['shareholders back more disclosure on climate change risks'],BP,0.037,['Corporate/Risks'],headline,Neutral
"$AAPL a new long IF 110.61 is broken. Targets are 112.19, 119.86 & 123.82. Bears must retake 102.77. $QQQ $NQ_F $NDX https://t.co/6l3m1wXChw",['a new long IF 110.61 is broken'],QQQ,0.172,['Stock/Signal/Buy Signal'],post,Neutral
@mugatushair Now it is time to short $TSLA,['Now it is time to short'],TSLA,-0.385,['Stock/Price Action/Volatility/Short Selling'],post,Negative
"UPDATE 1-BHP Billiton's credit ratings fragile in FY16, agencies warn","['credit ratings fragile in FY16, agencies warn']",BHP,-0.338,['Corporate/Risks'],headline,Negative
Tata Steel working with StanChart for UK unit sale - source,['with StanChart for UK unit sale - source'],StanChart,0.218,['Stock/IPO'],headline,Neutral
Infection worries prompt regulatory reviews of Gilead leukaemia drug $GILD https://t.co/H9vqXpZ15G via @YahooFinance,['prompt regulatory reviews'],GILD,-0.401,['Corporate/Regulatory'],post,Negative
NetApp downgraded by Macquarie to underperform. $22.00 PT. https://t.co/XCNgws0t4q $NTAP #NTAP via @RatingsNetwork,['downgraded by Macquarie to underperform'],NTAP,-0.574,['Stock/Coverage/AnalystRatings/Downgrade'],post,Negative
$EBAY had a nice breakout of the recent consolidation. Congrats to those who had it. http://stks.co/2TAd,['had a nice breakout of the recent consolidation'],EBAY,0.452,['Stock/Technical Analysis/Breakout'],post,Positive
Starbucks shares down as much as ~4.2% $SBUX https://t.co/JlgrprR54k,['shares down as much as ~4.2%'],SBUX,-0.383,['Stock/Price Action/Bearish/Bearish Behavior'],post,Negative
Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,['shares have seen recent volatility'],Astrazeneca,-0.12,['Market/Volatility'],headline,Neutral
$FB  rejecting HIGHS shortable...at 109,['rejecting HIGHS shortable'],FB,-0.387,['Stock/Price Action/Bearish'],post,Negative
long $AAPL,['long'],AAPL,0.648,['Stock/Price Action/Bullish/Bull Position'],post,Positive
"Loaded up on $bsx yesterday,looking good now. Still think way more upside than downside.",['Still think way more upside than downside.'],BSX,0.664,['Stock/Price Action/Bullish'],post,Positive
S&P downgrades Barclays and RBS on government bailout fears,['downgrades Barclays and RBS'],RBS,-0.53,['Stock/Coverage/AnalystRatings/downgrade'],headline,Negative
"$TSLA steaming up again, this stock is relentless at the moment","['steaming up again, this stock is relentless at the moment']",TSLA,0.535,['Stock/Price Action/Bullish/Bullish Behavior'],post,Positive
$IBIO  up 10% in premarket ready for lift off,['up 10% in premarket'],IBIO,0.507,['Stock/Price Action/Bullish/Bullish Behavior'],post,Positive
Merkel's Government Said to Support Deutsche Boerse-LSE Merger,['Support Deutsche Boerse-LSE Merger'],LSE,0.358,['Corporate/M&A/Proposed Merger'],headline,Positive
$PCLN Back to Back intraday reversals look out below. Shorts moving in!,['Shorts moving in!'],PCLN,-0.53,['Stock/Price Action/Bearish'],post,Negative
Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,['FDA Approves'],AstraZeneca,0.242,['Corporate/Regulatory'],headline,Neutral
$GPS Gap September Comparable Store Sales -4%,['September Comparable Store Sales -4%'],GPS,-0.441,['Corporate/Sales'],post,Negative
Short on $ATVI from 24.55.,['Short on'],ATVI,-0.745,['Stock/Price Action/Bearish/Bear Position'],post,Negative
InterContinental Hotels first-quarter global room revenue lags estimates,['first-quarter global room revenue'],InterContinental,-0.329,['Corporate/Sales'],headline,Negative
$AAPL wants lower. up waves getting smaller on the 2 min,['wants lower. up waves getting smaller'],AAPL,-0.37,['Stock/Price Action/Bearish/Bearish Behavior'],post,Negative
$BIOC RSI extremely in long's favor looking at BIOC historically.,"[""RSI extremely in long's favor""]",BIOC,0.503,['Stock/Technical Analysis'],post,Positive
Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,['Lifts Dividend Again As Acquisitions Continue To Boost Profit'],Bunzl,0.401,['Corporate/Dividend Policy/Dividend/Dividend going up'],headline,Positive
"$ZSL looking very weak, could be a good short setup.","['looking very weak, could be a good short setup.']",ZSL,-0.614,['Stock/Price Action/Bearish/Bearish Behavior'],post,Negative
Supreme Court Upholds $236 Million Jury Award Against ExxonMobil,['$236 Million Jury Award Agains'],ExxonMobil,-0.459,['Corporate/Legal'],headline,Negative
$FB watching for bounce tomorrow,['watching for bounce tomorrow'],FB,0.366,['Stock/Price Action/Bullish'],post,Positive
"BHP Billiton posts big loss, slashes dividend",['slashes dividend'],BHP Billiton,-0.938,['Corporate/Dividend Policy'],headline,Negative
Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,['Group Sign Memo of Understanding ..'],China Merchants Group,0.119,['Corporate/Strategy/Company Agreement'],headline,Neutral
"$AAPL at pivot area on intraday chart- break here could send this to 50-day SMA, 457.80 http://stks.co/jPbN",['at pivot area on intraday chart'],AAPL,0.128,['Stock/Technical Analysis'],post,Neutral
MarketsBP promotes upstream boss to deputy CEO,['promotes upstream boss to deputy CEO'],BP,0.066,['Corporate/Appointment'],headline,Neutral
$CAMT Looks like might break down. I'm out,"[""Looks like might break down. I'm out""]",CAMT,-0.516,['Stock/Price Action/Bearish/Bearish Behaviour'],post,Negative
$BAC $ADSK $NFLX long this morning,['long this morning'],NFLX,0.476,['Stock/Price Action/Bullish/Bull Position'],post,Positive
Germanwings disaster will not affect image of budget air travel - easyJet,['will not affect image of'],Germanwings,-0.046,['Corporate/Reputation'],headline,Neutral
SABMiller revenue hit by weaker EM currencies,['hit by weaker EM currencies'],SAB Miller,-0.439,['Market/Currency'],headline,Negative
"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",['fail to find reserves'],Royal Dutch Shell,-0.402,['Corporate/Risks'],headline,Negative
$TRIP maintains Neutral rating at JP Morgan- PT cut $61 from $66,['maintains Neutral rating'],TRIP,-0.019,['Stock/Coverage/AnalystRatings'],post,Neutral
"Saudi Aramco, Shell plan to break up Motiva, divide up assets","['Shell plan to break up Motiva, divide up assets']",Saudi Aramco,-0.142,['Corporate/Strategy/Reorganization'],headline,Neutral
$VMW  Got a nice push today following small sweepers of May C this morning,['Got a nice push today'],VMW,0.28,['Stock/Price Action/Bullish'],post,Neutral
Sainsbury sales slip again as price pressures take a toll,['pressures take a toll'],Sainsbury,-0.303,['Stock/Price Action'],headline,Negative
Tesco leads FTSE higher on Clubcard bid reports,['Clubcard bid reports'],Tesco,0.453,['Corporate/Rumors'],headline,Positive
AstraZeneca chases Acerta to secure next cancer drug winner,['chases Acerta to secure next cancer drug winner'],AstraZeneca,0.519,['Stock/Buyside/Stock Buyside'],headline,Positive
"$YNDX and the price of some stocks was 2 times lower then annual earnings, I could not resist, I  was buying when everyone was selling",['I was buying when everyone was selling'],YNDX,0.531,['Stock/Price Action/Bullish'],post,Positive
"$CNDO 21% short float, shorts likely to take profits into close",['shorts likely to take profits into close'],CNDO,-0.327,['Stock/Price Action/Current Price/Oversold'],post,Negative
$isrg trading at all-time high after strong earnings report with 4 days of short interest.,['trading at all-time high'],ISRG,0.729,['Stock/Price Action/Current Price/52-Week High'],post,Positive
VIVUS $VVUS bear raid in effect. Stock down 12%,['bear raid in effect. Stock down 12%'],VVUS,-0.57,['Stock/Price Action/Volatility/Short Selling'],post,Negative
3rd red day in a row ? $TSLA,['3rd red day in a row ?'],TSLA,-0.43,['Stock/Price Action/Bearish'],post,Negative
$LUV Continues to consolidate above previous break out area...,['ontinues to consolidate above previous break out area'],LUV,0.227,['Stock/Price Action/Bullish'],post,Neutral
Relief for Lewis as Tesco sees sales grow for first time in a year,['sees sales grow'],Tesco,0.42,['Corporate/Sales'],headline,Positive
AB InBev to Sell SABMiller Stake in China's Snow Beer,['to Sell SABMiller Stake in'],SABMiller,-0.045,['Stock/Signal/Sell Signal'],headline,Neutral
RBS Pays $1.7 Billion to Scrap U.K. Treasury's Dividend Rights,['to Scrap U.K. Treasury's Dividend Rights'],RBS,0.066,['Corporate/Dividend Policy'],headline,Neutral
Royal Mail share price rallies amid positive broker comments,['share price rallies'],Royal Mail,0.59,['Stock/Price Action'],headline,Positive
BHP Billiton drags FTSE lower after slashing dividend,['after slashing dividend'],BHP Billiton,-0.604,['Corporate/Dividend Policy'],headline,Negative
UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales,['lift SABMiller's quarterly underlying sales'],SABMiller,0.429,['Corporate/Sales/Sales'],headline,Positive
$WMT BULLISH with MACD CROSSOVER with RSI and STO going up - above 73.4$ MA50 res. could run http://stks.co/gGCq,['MACD CROSSOVER with RSI and STO going up'],WMT,0.574,['Stock/Technical Analysis'],post,Positive
Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,['to submit bid next week'],SABMiller,0.236,['Stock/Buyside/Stock Buyside'],headline,Neutral
longed $AMZN 300 @ 189.82,['longed'],AMZN,0.65,['Stock/Price Action/Bullish/Bull Position'],post,Positive
"FastJet slams EasyJet founder Stelios for going public, is 'taking legal advice' over letter about contractual ...",['is 'taking legal advice''],EasyJet,-0.238,['Corporate/Legal'],headline,Neutral
Breaking: Tesla recalls all Model X cars  .. details on show now $TSLA,['recalls all Model X cars'],TSLA,-0.308,['Corporate/Risks/Product Recall'],post,Negative
$FB I've been dead on so far. Such a bloated valuation. https://t.co/czCf8Kbrlt,['Such a bloated valuation'],FB,-0.536,['Stock/Fundamentals'],post,Negative
"FTSE led lower by M&S, GlaxoSmithKline",['FTSE led lowe'],M&S,-0.448,['Market/Market/Market Trend'],headline,Negative
Tesco's Sales Pickup Isn't Enough,['Sales Pickup Isn't Enough'],Tesco,-0.23,['Corporate/Sales'],headline,Neutral
"L&G still paying price for dividend cut during crisis, chief says",['still paying price for dividend cut'],L&G,-0.338,['Corporate/Dividend Policy'],headline,Negative
$ENDP being sued by FTC.....nobody will buy them with that hanging over their heads,['being sued by FTC'],ENDP,-0.602,['Corporate/Legal/Lawsuit'],post,Negative
$JD down 20% in after-hour market. anyone care to explain why?,['down 20% in after-hour market'],JD,-0.551,['Stock/Price Action/Bearish/Bearish Behavior'],post,Negative
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",['drive markets higher'],Ashtead,0.514,['Market/Market'],headline,Positive
"$VRTX Vertex. Monthly -lower hi/lower lo,  Long term uptrend intract so far",['Long term uptrend intract so far'],VRTX,0.368,['Stock/Price Action/Bullish'],post,Positive
energy still failing to close above the 10D MA.  continues to stand out weak $XLE,['still failing to close above the 10D MA'],XLE,-0.517,['Stock/Technical Analysis'],post,Negative
$GRPN might be selling off ahead of $P earnings...,['might be selling off ahead'],P,-0.202,['Stock/Price Action/Bearish/Bearish Behavior'],post,Neutral
Market Report: Eight-day rally ends for FTSE 100 and Standard Chartered,['Market Report: Eight-day rally ends for FTSE 100'],Standard Chartered,0.008,['Market/Market'],headline,Neutral
BULLISH Engulfing of COCA COLA: http://stks.co/fYCo $KO,['BULLISH Engulfing'],KO,0.551,['Stock/Technical Analysis'],post,Positive
"FTSE falls to 3-month low on Greek debt concerns, easyJet skids",['Greek debt concerns'],easyjet,-0.414,['Corporate/Risks'],headline,Negative
AstraZeneca suffers setback after drug fails to treat eye cancer,['suffers setback'],AstraZeneca,-0.392,['Corporate/Risks'],headline,Negative
"$QCOR a little pullback is fine but if this erases all of todays gains, I cannot believe the manipulation its capable of",['this erases all of todays gains'],QCOR,-0.169,['Stock/Price Action/Bearish'],post,Neutral
"FDA approves NPS drug, in move validating Shire takeover deal",['validating Shire takeover deal'],Shire,0.332,['Corporate/M&A/Proposed Merger'],headline,Positive
$FB gone green on day,['gone green on day'],FB,0.476,['Stock/Price Action/Bullish/Bullish Behavior'],post,Positive
$SBUX heading for the 200DMA and certain doom if it can not hold there.,['heading for the 200DMA'],SBUX,-0.437,['Corporate/Technical Analysis'],post,Negative
"$QIHU totally missed this one, was about to jump in on that 60 break test but didn't, congrats shorts",['congrats shorts'],QIHU,-0.494,['Stock/Price Action/Volatility/Short Selling'],post,Negative
"RT @stockdemons think shorting here into close might be play, $SPY - high beta reversing..looks worth a shot",['think shorting here into close might be play'],SPY,-0.469,['Stock/Price Action/Volatility/Short Selling'],post,Negative
REFILE-Hikma and Barclays help Britain's FTSE to climb higher,['help Britain's FTSE to climb higher'],Hikma,0.452,['Market/Market/Market Trend'],headline,Positive
$AMD big dumping... would not touch it for a while,['big dumping... would not touch it for a while'],AMD,-0.699,['Stock/Price Action/Bearish/Bearish Behavior'],post,Negative
RBI surprises Street; Sensex pares gains after hitting mount 30k,['Sensex pares gains'],Sensex,-0.216,['Stock/Price Action'],headline,Neutral
GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,['set to complete $20 billion Novartis asset swap next week'],Novartis,0.189,['Corporate/M&A'],headline,Neutral
"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",['settles oil spill-related claims'],BP,-0.121,['Corporate/Legal/Settlement'],headline,Neutral
"Royal Mail, Johnson Matthey lead FTSE lower",['lead FTSE lower'],Royal Mail,-0.438,['Market/Market/Market Trend'],headline,Negative
AB InBev looks to win over SABMiller investors,['looks to win over SABMiller investors'],SABMiller,0.276,['Corporate/M&A/Proposed Merger'],headline,Neutral
$CIEN http://stks.co/dZU CIEN seems to have broken out of a major horizontal resistance. Targets $14.35.,['broken out of a major horizontal resistance'],CIEN,0.345,['Stock/Technical Analysis'],post,Positive
$ETN UPGRADE today by MS to overweight.  Excellent company and leadership,['UPGRADE today by MS to overweight.'],ETN,0.685,['Stock/Coverage/AnalystRatings/Upgrade'],post,Positive
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...","['Crazy looking chart, but nearing breakout resistance line']",YHOO,0.194,['Stock/Technical Analysis/Breakout'],post,Neutral
UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,['cut 945 jobs as part of 3-year restructuring plan'],Lloyds,-0.266,['Corporate/Strategy'],headline,Neutral
EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany,['Dismisses Lufthansa Low-Cost Plan in Contest for Germany'],Lufthansa,-0.227,['Corporate/Risks/Price Competition'],headline,Neutral
$BONE Earnings Stocks Poised to Pop http://stks.co/2zWE,['Poised to Pop'],BONE,0.432,['Stock/Price Action/Bullish'],post,Positive
Do it for me' trend underpins UK sales growth at Kingfisher,['UK sales growth'],Kingfisher,0.304,['Corporate/Sales'],headline,Positive
Industry NewsMorrisons unveils which stores will close as 900 jobs face the axe,['unveils which stores will close as 900 jobs face the axe'],Morrissons,-0.731,['Corporate/Company Communication'],headline,Negative
"78 users on Vetr are bearish on Tesla Motors, Inc., indicating a SELL Rating (2 stars) for $TSLA https://t.co/vVpzqCXsNJ",['indicating a SELL Rating'],TSLA,-0.485,['Stock/Coverage/AnalystRatings/Downgrade'],post,Negative
$GDX $GDXJ $JNUG - strong move today for the Junior Gold Miners - keep an EYE out for a gap fill -,['strong move today'],JNUG,0.55,['Stock/Price Action/Bullish/Bullish Behavior'],post,Positive
$FB slight green... May be runner later,['slight green... May be runner later'],FB,0.328,['Stock/Price Action/Bullish'],post,Positive
GlaxoSmithKline share price slips as FDA okays asthma therapy only for adults,['share price'],GlaxoSmithKline,-0.408,['Stock/Price Action'],headline,Negative
$TSPT  long 8.00,['long play'],TSPT,0.499,['Stock/Price Action/Bullish/Bull Position'],post,Positive
"$CHKP ABC Bullish Pattern, Targets https://t.co/uVMmRSR5Zy",['ABC Bullish Pattern'],CHKP,0.496,['Stock/Technical Analysis'],post,Positive
"Casinos red before the bell: $LVS -0.75%, $WYNN -0.47%, $WYNN -0.47% > unusual comibinations of what's running, what's red before the bell",['red before the bell'],WYNN,-0.424,['Stock/Price Action/Bearish/Bearish Behavior'],post,Negative
"$AAPL AAPL: Gundlach Slams iPad mini, Sees Downside to $425. http://stks.co/bDqV","['Gundlach Slams iPad mini, Sees Downside']",AAPL,-0.325,['Stock/Coverage/AnalystRatings/Downgrade'],post,Negative
Bilfinger Industrial Services win ÃÂ£100m BP contract extension,['win ÃÂ£100m BP contract extension'],BP,0.113,['Corporate/Sales/Deal'],headline,Neutral
Brewer AB InBev seeks $275 bln tie-up with SABMiller,['seeks $275 bln tie-up with SABMiller'],SABMiller,0.295,['Corporate/M&A/Proposed Merger'],headline,Neutral
InterContinental Hotels Denies Reports of Starwood Merger Talks,['Denies Reports of Starwood Merger Talks'],Starwood,-0.078,['Corporate/Rumors/Scoop'],headline,Neutral
"$TXRH reports Q1 EPS of $0.37 versus the estimated $0.35, beating by $0.02. EPS were Up 19% from the same quarter last year.","['eports Q1 EPS of $0.37 versus the estimated $0.35, beating by $0.02. EPS were Up 19% from the same quarter last year.']",TXRH,0.365,['Corporate/Financial/Financial Results/Earnings'],post,Positive
Word on the street is that Allergen is looking at Endo International after the failed Pfizer merger. May-20 $35 calls active. $ENDP,['Word on the street is that Allergen is looking at Endo International'],ENDP,0.472,['Corporate/M&A/Proposed Merger'],post,Positive
$GTE LONG at 7.44,['LONG at'],GTE,0.732,['Stock/Price Action/Bullish/Bull Position'],post,Positive
"$AAPL Taking out the shorts here, a punishing reminder not to spear the  strongest in the herd.",['Taking out the shorts here'],AAPL,0.144,['Stock/Price Action/Bullish/Bullish Behavior'],post,Neutral
#Tesla Model S deliveries are up 35% in Germany - record deliveries in March [Chart] https://t.co/yCnClcBImV  $TSLA,['deliveries are up 35% in Germany - record deliveries in March'],TSLA,0.365,['Corporate/Sales'],post,Positive
"Sold out $TZA 45 $PUT (down $1), which were hedging my 45 $CALL. Letting the calls ride solo now.",['Letting the calls ride solo now'],TZA,0.385,['Stock/Options/Strategies'],post,Positive
"Rio Tinto swings to loss, drops dividend policy",['drops dividend policy'],Rio Tinto,-0.511,['Corporate/Dividend Policy'],headline,Negative
I see a 20 percent upside in $FB shares from here,['I see a 20 percent upside'],FB,0.589,['Stock/Price Action/Bullish'],post,Positive
Windows 10 is awful why did it force an upgrade on my pc without my consent? #windows #Microsoft $msft,['is awful why did it force an upgrade on my pc without my consent?'],MSFT,-0.49,['Corporate/Risks/Product Flaws'],post,Negative
#Tesla: Model X Recall Adds To Reliability Issues $TSLA https://t.co/jVXQ4DoXnP,['Recall Adds To Reliability Issues'],TSLA,-0.267,['Corporate/Risks/Product Recall'],post,Neutral
Why $TWTR is doomed in 1 chart $FB $GOOG  https://t.co/MpyLiReQjh https://t.co/nlcZawDoHP,['doomed in 1 chart'],GOOG,-0.07,['Stock/Technical Analysis'],post,Neutral
"$WGO's BoD was right to reject the offer. That company is low because of the economy, not because of any type of mismanagement or anything.",['was right to reject the offer'],WGO,0.076,['Corporate/M&A'],post,Neutral
"$HSC Receives 7-Year, $50M Contract at New Saudi Arabian Steel Mill","['Receives 7-Year, $50M Contract']",HSC,0.497,['Corporate/Sales/Deal'],post,Positive
$AMZN new HOD with conviction keeping $570 on watch for Resistance.,['new HOD with conviction'],AMZN,0.529,['Stock/Price Action/Bullish/Bullish Behavior'],post,Positive
"$SLW is down, but weekly $34 calls (-28.95%), .23 x .25 have 321 volume. Worth a chance here, jmho: http://stks.co/1Qfg","['is down, but weekly $34 calls']",SLW,0.145,['Stock/Options'],post,Neutral
"Whats up with $LULU?  Numbers looked good, not great, but good.  I think conference call will instill confidence.","['Numbers looked good, not great, but good']",LULU,0.011,['Stock/Fundamentals'],post,Neutral
"You know that back seat? Don't sit in it. - $TSLA -> Tesla recalls 2,700 Model X cars https://t.co/7J0Gwz89ZC","['Tesla recalls 2,700 Model X cars']",TSLA,-0.319,['Corporate/Risks/Product Recall'],post,Negative
$FB they are hitting  everything in sight.short it. but twtr,['they are hitting everything in sight.short it'],FB,-0.504,['Stock/Price Action/Bearish'],post,Negative
Investors Remain Skeptical About Shell-BG Deal,['Investors Remain Skeptical About Shell-BG Deal'],Shell,-0.266,['Corporate/Rumors/Rumors'],headline,Neutral
London Stock Exchange Ã¢â¬â Deutsche Boerse merger under threat from Brexit,['Deutsche Boerse merger under threat'],London Stock Exchange,-0.421,['Corporate/M&A/M&A'],headline,Negative
WPP wins race for 'programmatic buying' agency Essence Digital,['wins race for 'programmatic buying' agency Essence Digital'],WPP,0.238,['Corporate/M&A/M&A'],headline,Neutral
"that was quick, out $FIO 21.35, market tanking, scaling down longs now",['market tanking'],FIO,-0.497,['Market/Market'],post,Negative
Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,['as sole legal seller of Libyan oil'],Glencore,0.037,['Corporate/Legal'],headline,Neutral
Starbucks downgraded on same day as new downgraded rewards program starts  $SBUX,['Starbucks downgraded'],SBUX,-0.46,['Stock/Coverage/AnalystRatings/Downgrade'],post,Negative
$XLI Potential intermediate top in an Uptrend on a 60'-15'-4' charts http://stks.co/j1TdF,['Potential intermediate top in an Uptrend'],CRM,0.126,['Stock/Price Action/Bearish'],post,Neutral
"UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge",['RBS must pay $806 mln in mortgage bond case-'],RBS,-0.69,['Corporate/Legal/Settlement'],headline,Negative
Glencore slumps 25 pct as debt fears grow,['debt fears grow'],Glencore,-0.718,['Corporate/Risks'],headline,Negative
$ZAGG getting ready...Target $15 plus on a close over $13.50 on better than avg daily Volume http://chart.ly/lha44tn,['Target $15 plus on a close over $13.50 on better than avg daily Volume'],ZAGG,0.385,['Stock/Price Action/Bullish'],post,Positive
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",['downplay Brexit threat'],Barclays,0.0,['Corporate/Risks'],headline,Neutral
Retailers Kingfisher and Sports Direct rise in Britain's share index,['rise in Britain's share index'],Sports Direct,0.459,['Stock/Technical Analysis/Trend/Trending up'],headline,Positive
Shire Sees Baxalta Deal Closing as Expected After New Rules,['Sees Baxalta Deal Closing as Expected'],Shire,0.224,['Corporate/Sales/Deal'],headline,Neutral
ARM Royalties Accelerate as Smartphone Market Regains Strength,['Smartphone Market Regains Strength'],ARM,0.571,['Market/Market'],headline,Positive
$tsla X recall not a big deal... the problem is now they will have an excuse to guide way way lower...,['recall not a big deal'],TSLA,0.003,['Corporate/Risks/Product Recall'],post,Neutral
CompaniesAB InBev signals it won't go hostile for SABMiller,['signals it won't go hostile'],SAB Miller,0.107,['Corporate/Rumors/Scoop'],headline,Neutral
$SPY bull move ended waiting for next setup,['bull move ended'],SPY,-0.204,['Stock/Price Action/Bearish'],post,Neutral
Breaking 52 week highs timing looks great now $AHS $BABY $POST $IGE $IRDM $EWBC $PHYS $ULTA $VNET $BIV https://t.co/11K8JzuzMU,['Breaking 52 week highs timing looks great now'],VNET,0.419,['Stock/Price Action/Current Price/52-Week High'],post,Positive
$HCP Come to the party and buy this -gonna give solid gains and a dividend $$$$$$,['gonna give solid gains and a dividend'],HCP,0.52,['Corporate/Dividend Policy'],post,Positive
Out of shorts $ALTR at 38.85 with loss,['Out of shorts'],ALTR,0.372,['Stock/Price Action/Bullish/Bullish Behavior'],post,Positive
